IMAGE\LABEL	airplane	bare-soil	buildings	cars	chaparral	court	dock	field	grass	mobile-home	pavement	sand	sea	ship	tanks	trees	water
agricultural00	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
agricultural01	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural02	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural03	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
agricultural05	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural06	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural07	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural08	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural09	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural13	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural14	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural15	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural16	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural17	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural18	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural19	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural20	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
agricultural22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
agricultural23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
agricultural24	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural25	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural26	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural27	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural28	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural29	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural30	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural31	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural32	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural33	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural34	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural35	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural36	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural37	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural38	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural39	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural40	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural41	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural42	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural43	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural44	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural45	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural46	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural47	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural48	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural49	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural50	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural51	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural52	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural53	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural54	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural55	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural56	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural57	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural58	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural59	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural60	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural61	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
agricultural62	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural63	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural64	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural65	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural66	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural67	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural68	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural69	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural70	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural71	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural72	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural73	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural74	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural75	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural76	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural77	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural78	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural79	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural80	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural81	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural82	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural83	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural84	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural85	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural86	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural87	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural88	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural89	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural90	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural91	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural92	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural93	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural94	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural95	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural96	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural97	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural98	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural99	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
airplane00	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0
airplane01	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
airplane02	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
airplane03	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane04	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane05	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane06	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane07	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane08	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane09	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane10	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane11	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane12	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane13	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane14	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane15	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane16	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane17	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane18	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane19	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
airplane20	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0
airplane21	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane22	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
airplane23	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane24	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0
